period_um,top_width_um,bottom_width_um,depth_um,tilt_angle_deg,wavelength_um,reflectance,transmittance,absorptance,emissivity_proxy
10.0,4.0,4.0,3.0,0.0,8.737864077669904,0.8770571386228647,-8.231685221607239e-08,0.12294294369398749,0.12294294369398749
10.0,4.0,4.0,3.0,0.0,8.823529411764707,0.8792120417149938,-1.1086404539732857e-07,0.12078806914905162,0.12078806914905162
10.0,4.0,4.0,3.0,0.0,8.910891089108912,0.8813807752055142,-1.4686464861990496e-07,0.11861937165913446,0.11861937165913446
10.0,4.0,4.0,3.0,0.0,9.0,0.8833260263188675,-1.9148932066888611e-07,0.11667416517045319,0.11667416517045319
10.0,4.0,4.0,3.0,0.0,9.090909090909092,0.884819124046138,-2.459701886267761e-07,0.11518112192405058,0.11518112192405058
10.0,4.0,4.0,3.0,0.0,9.183673469387756,0.8856907143159183,-3.115862842226247e-07,0.11430959727036594,0.11430959727036594
10.0,4.0,4.0,3.0,0.0,9.278350515463918,0.8858754511150292,-3.896469406094448e-07,0.11412493853191143,0.11412493853191143
10.0,4.0,4.0,3.0,0.0,9.375,0.8854407568359978,-4.814743504301485e-07,0.11455972463835266,0.11455972463835266
10.0,4.0,4.0,3.0,0.0,9.473684210526317,0.8845917096676206,-5.8838686740933e-07,0.11540887871924684,0.11540887871924684
10.0,4.0,4.0,3.0,0.0,9.574468085106384,0.8836479695955916,-7.116848699363509e-07,0.11635274208927839,0.11635274208927839
10.0,4.0,4.0,3.0,0.0,9.67741935483871,0.8829938406437662,-8.526410310695879e-07,0.11700701199726489,0.11700701199726489
10.0,4.0,4.0,3.0,0.0,9.782608695652174,0.8830082369023042,-1.0124966125450973e-06,0.11699277559430832,0.11699277559430832
10.0,4.0,4.0,3.0,0.0,9.890109890109892,0.8839864075404423,-1.1924649114449103e-06,0.11601478492446911,0.11601478492446911
10.0,4.0,4.0,3.0,0.0,10.0,0.8860686701721794,-1.3937422678463356e-06,0.11393272357008846,0.11393272357008846
10.0,4.0,4.0,3.0,0.0,10.112359550561798,0.8891921552481603,-1.6175261610632394e-06,0.11080946227800076,0.11080946227800076
10.0,4.0,4.0,3.0,0.0,10.227272727272728,0.8930791056686427,-1.8650389848022799e-06,0.10692275937034212,0.10692275937034212
10.0,4.0,4.0,3.0,0.0,10.344827586206899,0.8972695881168626,-2.1375552176982624e-06,0.10273254943835507,0.10273254943835507
10.0,4.0,4.0,3.0,0.0,10.465116279069768,0.9011981930446099,-2.43642900602924e-06,0.09880424338439613,0.09880424338439613
10.0,4.0,4.0,3.0,0.0,10.588235294117647,0.904304712672194,-2.76311871849217e-06,0.09569805044652446,0.09569805044652446
10.0,4.0,4.0,3.0,0.0,10.714285714285715,0.9061596832956328,-3.1192048069525224e-06,0.09384343590917417,0.09384343590917417
10.0,4.0,4.0,3.0,0.0,10.843373493975905,0.9065790936112861,-3.5063971800329957e-06,0.09342441278589396,0.09342441278589396
10.0,4.0,4.0,3.0,0.0,10.975609756097562,0.9057003989031698,-3.926527977542815e-06,0.09430352762480776,0.09430352762480776
10.0,4.0,4.0,3.0,0.0,11.11111111111111,0.9039955919428492,-4.381524639067631e-06,0.09600878958178989,0.09600878958178989
10.0,4.0,4.0,3.0,0.0,11.250000000000002,0.9022068570727211,-4.873355781145193e-06,0.09779801628306006,0.09779801628306006
10.0,4.0,4.0,3.0,0.0,11.392405063291141,0.9012054097858662,-5.403937669043631e-06,0.09879999415180288,0.09879999415180288
10.0,4.0,4.0,3.0,0.0,11.53846153846154,0.9017922751024791,-5.974980722976907e-06,0.09821369987824392,0.09821369987824392
10.0,4.0,4.0,3.0,0.0,11.688311688311689,0.9044775567605533,-6.587741881163507e-06,0.09552903098132787,0.09552903098132787
10.0,4.0,4.0,3.0,0.0,11.842105263157896,0.9092880216942858,-7.2426275597592046e-06,0.09071922093327396,0.09071922093327396
10.0,4.0,4.0,3.0,0.0,12.000000000000004,0.9156573857602159,-7.93856038383298e-06,0.0843505528001679,0.0843505528001679
10.0,4.0,4.0,3.0,0.0,12.162162162162163,0.9224462775414085,-8.67197647325243e-06,0.07756239443506474,0.07756239443506474
10.0,4.0,4.0,3.0,0.0,12.328767123287673,0.9281181330451701,-9.435252355938218e-06,0.07189130220718584,0.07189130220718584
10.0,4.0,4.0,3.0,0.0,12.500000000000002,0.9310646510756733,-1.021426154800977e-05,0.06894556318587475,0.06894556318587475
10.0,4.0,4.0,3.0,0.0,12.676056338028172,0.9300345616851058,-1.0984614851730634e-05,0.06997642292974594,0.06997642292974594
10.0,4.0,4.0,3.0,0.0,12.85714285714286,0.9245800727351683,-1.1705920894452947e-05,0.07543163318572617,0.07543163318572617
10.0,4.0,4.0,3.0,0.0,13.043478260869566,0.9154064166041609,-1.2313075706532972e-05,0.08460589647154565,0.08460589647154565
10.0,4.0,4.0,3.0,0.0,13.235294117647062,0.9045018873888332,-1.2703091560689034e-05,0.0955108157027275,0.0955108157027275
10.0,4.0,4.0,3.0,0.0,13.432835820895527,0.8949472330894674,-1.2715210939401159e-05,0.10506548212147196,0.10506548212147196
10.0,4.0,4.0,3.0,0.0,13.636363636363638,0.8903582201107548,-1.2100872972569832e-05,0.10965388076221774,0.10965388076221774
10.0,4.0,4.0,3.0,0.0,13.846153846153847,0.8940003868385349,-1.0478274952942731e-05,0.10601009143641806,0.10601009143641806
10.0,4.0,4.0,3.0,0.0,14.062500000000004,0.9077182878309424,-7.2634369651411055e-06,0.0922889756060227,0.0922889756060227
10.0,4.0,4.0,3.0,0.0,14.28571428571429,0.9309217003381234,-1.5652613775585992e-06,0.06907986492325417,0.06907986492325417
